9.806 8.06185
7.31649 6.15166
4.0753 3.6684 1
6.20366 5.58588 0
4.7921 4.59687 0
5.44044 5.54305 0
0.677527 3.23938 0
6.76828 9.14461 0
9.46458 2.95112 0
9.2577 7.54158 1
2.18475 6.60905 0
7.22128 3.76819 0
5.33426 4.54804 1
7.25649 5.37529 0
0.259311 0.563099 0
0.192946 1.1786 0
7.47003 6.63335 0
7.82341 6.23166 0
8.94773 8.19523 0
7.54079 6.1213 0
5.81483 4.18224 0
2.39358 1.91456 0
5.81126 7.9375 0
0.128802 0.392176 0
5.70438 4.98725 1
3.80383 1.39639 0
4.49565 4.16251 0
8.17082 7.06672 0
6.35622 5.21874 0
6.47135 5.76744 0
0.304991 6.13087 0
8.23935 7.15375 0
5.07257 2.81243 0
5.6257 4.47194 0
3.25958 2.9753 1
1.71194 2.63622 0
0.875097 0.667487 0
8.2315 6.73358 1
8.98846 4.50369 0
2.43728 2.54078 0
7.07184 8.24795 0
2.00184 2.03565 1
1.02145 1.20028 1
3.63906 3.12744 0
7.31211 5.89668 0
8.84427 7.20946 1
0.554627 1.16549 0
8.0547 7.12187 0
0.612796 1.80448 0
8.12259 3.67348 0
8.24869 6.07208 0
5.20724 3.75529 0
1.99689 9.88898 0
2.48301 0.301491 0
0.892411 1.16473 1
6.12078 3.26081 0
0.91991 2.18417 0
2.03197 2.85141 0
7.63883 6.84637 0
1.15497 1.70668 0
1.90471 2.68661 0
7.08593 6.16274 0
3.54015 4.03489 0
8.495 7.04533 1
1.76124 1.77437 1
2.56052 6.43451 0
7.36037 2.45214 0
4.59075 4.39831 0
6.01675 7.52376 0
0.429983 0.87853 1
0.325536 9.36876 0
7.27988 6.13189 1
3.70882 2.71554 0
6.2376 6.27116 0
6.83203 6.0829 0
0.659048 1.43951 0
9.55955 8.02457 0
0.825384 1.39524 0
5.17229 5.66068 0
3.49709 3.05425 0
6.21034 7.47379 0
9.55726 8.19396 0
3.92622 0.978673 0
4.99039 4.37647 1
2.46292 2.94549 0
3.5296 4.01917 0
6.269 1.93163 0
3.88235 2.00984 0
1.13981 1.97416 0
5.38866 4.9493 0
0.116735 1.9777 0
4.066 6.2213 0
5.37231 4.80743 0
3.30871 8.07426 0
1.22972 1.06114 0
1.36291 1.95063 0
6.67893 6.32274 0
4.6407 4.90676 0
1.36944 1.70363 1
8.68775 5.83486 0
9.43019 7.49067 0
4.72015 4.43701 0
2.54015 3.5847 0
6.98576 6.36561 0
8.84697 6.83657 0
4.62446 7.33568 0
7.21743 6.79288 0
4.34605 4.64288 0
0.538171 1.67127 0
4.1675 1.92643 0
3.2692 3.44723 0
2.86579 3.32575 0
5.59722 5.14732 0
9.47555 7.27702 0
6.55852 5.03709 0
2.53614 7.8827 0
6.23717 5.02681 0
1.04396 2.07981 0
7.59891 4.23227 0
7.05781 6.14175 0
4.70778 4.80651 0
1.56732 2.34696 0
9.80553 8.07455 1
7.5135 7.01276 0
0.946303 1.4633 0
9.1452 7.47945 1
9.16966 7.94778 0
4.74835 4.32936 0
0.787327 1.61439 0
1.83092 2.74124 0
1.68827 2.27573 0
7.48116 7.69405 0
2.56758 3.03371 0
7.37206 5.31454 0
0.0375832 1.15582 0
7.43505 6.06453 0
5.28033 4.56297 1
2.03651 1.98676 1
2.2009 2.63303 0
2.35585 2.42878 1
2.88878 3.47707 0
3.73886 3.68185 0
5.6286 4.99853 0
1.07988 7.08939 0
4.89535 4.61052 0
3.97111 3.50339 1
4.22741 8.13684 0
7.65228 6.62128 0
4.88746 5.03644 0
7.32835 5.49914 0
2.35047 2.35843 1
0.933215 6.99611 0
5.26197 5.1654 0
9.25226 0.492533 0
6.48942 8.83131 0
7.40139 5.0834 0
3.44762 3.3687 0
3.27244 2.93556 1
0.571624 1.27856 0
5.19512 5.43104 0
0.474407 5.76064 0
9.58321 1.35917 0
0.376345 1.04624 0
5.5557 5.38974 0
2.4018 2.3135 1
9.52866 8.11638 0
2.60985 7.14242 0
3.74685 3.67186 0
8.99248 7.49478 1
7.25645 7.07492 0
7.86427 6.62941 1
3.00971 2.67812 0
2.5878 4.18499 0
8.58823 7.18607 1
3.5234 3.28874 1
0.413756 2.64001 0
7.5243 6.71312 0
0.561323 0.682843 0
7.42183 5.71612 0
2.04784 1.89786 0
1.24344 2.65967 0
2.23134 2.74339 0
5.00351 4.63109 0
5.38441 4.37293 0
5.27196 4.60409 1
4.63415 4.66185 0
5.48639 2.59637 0
2.17061 2.50424 0
9.47563 7.6716 0
5.87068 5.09008 1
2.76221 3.09055 0
2.21304 2.337 1
9.12114 7.28913 0
9.29819 8.07351 0
1.03715 1.86908 0
1.29891 0.874764 0
7.48742 1.97916 0
4.64673 2.85053 0
2.77523 2.95009 0
7.62722 6.72317 0
0.962118 5.24277 0
7.07109 6.18773 0
6.70505 9.9514 0
6.71871 5.78848 1
7.31501 5.40572 0
6.41881 5.95184 0
9.80498 7.91729 0
0.353008 1.02659 0
0.644397 1.83805 0
8.71234 7.05605 0
9.02607 5.91665 0
0.449115 1.16284 0
9.88802 7.68574 0
1.15612 1.53266 1
6.6223 6.60516 0
9.93648 7.9349 0
8.99608 7.48376 1
4.7514 4.30888 1
8.33584 6.77874 0
4.49493 2.96438 0
2.22447 1.95325 0
4.7058 5.07231 0
2.72153 3.55679 0
2.45114 2.71335 0
1.03447 1.47993 0
6.36784 5.66029 0
8.64192 6.0598 0
9.14284 8.06933 0
9.99849 2.37539 0
3.6731 3.68189 0
0.210062 1.89267 0
7.82308 7.8819 0
3.87527 3.58917 1
3.79215 3.49613 1
0.647889 1.40742 0
0.511965 5.763 0
3.76657 3.9125 0
3.80163 2.727 0
0.393166 4.6719 0
5.05949 4.27684 0
5.78441 5.00463 1
1.00839 0.988967 0
5.39274 8.8355 0
0.131397 1.69167 0
3.28384 2.97028 1
4.67117 3.96552 0
2.96131 2.13607 0
5.98758 5.28933 0
2.18956 2.29591 1
4.39765 4.36484 0
5.04609 4.00824 0
9.07825 7.35428 0
8.9083 2.02242 0
6.68571 5.61889 1
0.271954 0.879211 0
8.99144 7.21297 0
1.14539 0.890421 0
4.59119 4.32168 0
8.05606 0.490831 0
3.6657 3.61288 0
2.72243 2.2323 0
3.43672 9.50493 0
3.48405 3.1973 1
5.98189 8.97265 0
0.721582 1.6635 0
6.76801 8.66352 0
9.83248 7.70302 0
7.84662 6.93713 0
6.50408 5.65067 1
5.36117 4.8523 0
9.29146 2.80803 0
2.15381 0.268481 0
3.97576 4.72679 0
5.16386 6.24656 0
6.98763 6.52219 0
6.11803 1.91376 0
1.24001 0.998447 0
4.07823 3.18768 0
5.31446 4.26283 0
0.16781 2.07192 0
0.314917 1.50473 0
7.4094 6.53691 0
7.50252 8.14624 0
6.44601 6.58515 0
1.52115 0.995065 0
9.14432 7.87425 0
5.95724 5.40486 0
2.77263 2.34881 0
3.22931 3.20473 0
7.14687 5.17688 0
0.765399 0.996748 0
8.17472 6.00427 0
2.56784 3.7595 0
7.32758 6.29118 0
4.2192 4.05426 0
5.44745 4.43505 0
4.07812 7.40997 0
4.06336 3.56756 1
1.91244 1.47833 0
4.13114 4.01112 0
2.29448 3.36348 0
4.23378 5.47565 0
6.19227 4.72031 0
3.79137 2.64667 0
3.95924 3.81361 0
7.64196 0.625657 0
7.37771 5.87678 0
2.10929 2.57738 0
3.78588 4.61337 0
9.78406 0.712587 0
1.24398 5.02275 0
3.69941 3.33417 1
9.08102 7.06181 0
4.84387 2.06752 0
8.97774 7.34244 1
0.435613 1.63569 0
8.87831 8.63991 0
3.42724 3.13398 1
6.945 1.61377 0
9.75865 7.84263 0
6.04122 5.50336 0
8.10942 6.95702 0
7.87759 6.17066 0
9.00432 7.83119 0
2.54129 2.33625 0
4.1631 3.80411 1
8.61912 6.82546 0
1.2462 2.17454 0
7.63718 6.59787 0
7.2762 7.39405 0
5.20696 4.41037 1
7.51725 0.341972 0
2.0586 2.18511 1
5.19078 4.04949 0
1.0834 0.490111 0
3.58845 3.06863 0
7.21465 6.00151 1
6.94576 6.47832 0
4.65029 3.91328 0
2.12364 2.78835 0
6.59942 5.6265 1
4.39626 3.82337 1
9.57386 8.11956 0
8.48987 7.05862 1
5.08402 9.56944 0
1.9152 1.2892 0
8.06246 6.11555 0
4.89123 5.21442 0
8.75701 5.21381 0
7.70081 7.86781 0
4.64056 4.56372 0
0.298293 0.387154 0
7.95237 6.25613 0
1.54715 1.08945 0
4.70528 4.55485 0
8.23084 6.13511 0
6.24583 5.34531 1
4.94276 5.17615 0
3.59704 3.94229 0
4.93068 3.8897 0
7.55401 5.68191 0
3.90939 5.96352 0
8.58844 8.1079 0
8.01885 7.64541 0
4.02461 3.74313 1
8.40181 6.20714 0
2.3565 1.79761 0
3.12078 3.40753 0
9.92945 7.47763 0
9.42183 8.0653 0
7.57285 5.70885 0
4.56136 3.81588 0
0.561748 1.81149 0
7.68426 7.07503 0
4.77709 6.13655 0
3.33973 1.67738 0
7.86792 6.90074 0
2.7756 1.95205 0
0.781475 0.807639 0
1.67062 5.34057 0
2.35749 1.26088 0
9.75423 0.692402 0
7.52612 6.36492 1
0.13735 1.17249 0
9.04411 1.67361 0
7.13508 5.24717 0
5.26624 5.2915 0
3.74974 6.06694 0
9.48465 7.88823 1
1.60408 1.95481 0
6.15232 5.27078 1
5.59185 5.31843 0
9.03272 0.867296 0
6.21658 5.35631 1
9.281 7.51791 0
1.75256 2.93009 0
0.386508 1.45856 0
3.65337 3.04504 0
6.938 9.74933 0
9.9278 7.06105 0
7.12128 5.82893 0
3.92279 4.61999 0
6.02801 5.68812 0
2.17159 2.36219 0
2.45944 2.06934 0
2.98452 2.77981 1
7.04143 4.26247 0
9.1467 3.02508 0
8.4679 7.07888 1
0.225985 0.944242 0
3.6282 3.3589 1
4.90671 4.63098 0
4.03598 1.11125 0
8.1686 1.12516 0
9.70128 7.3386 0
2.10099 2.90448 0
1.64917 1.59322 0
5.55846 4.85537 1
2.66266 3.09917 0
1.21606 1.36675 1
6.24005 5.07705 0
7.36663 5.95973 0
7.04936 6.24652 0
2.34234 3.76545 0
7.60151 1.07296 0
1.55093 1.14685 0
0.275384 0.122883 0
4.98174 8.14755 0
1.96141 0.792833 0
2.79258 2.67219 1
6.72385 5.98378 0
1.70057 2.19008 0
8.91635 7.45133 1
3.37264 7.12075 0
9.7105 8.51326 0
8.49438 7.33442 0
6.84519 5.77288 1
1.54377 2.52402 0
2.44908 9.91921 0
0.952119 1.88035 0
5.84974 4.46566 0
5.99433 5.59822 0
8.01763 6.45558 0
2.79858 2.90196 0
5.8365 5.78592 0
9.41424 8.61367 0
6.88128 0.805292 0
2.19668 2.50907 0
4.68467 4.17929 1
7.28593 5.92951 0
5.31707 4.79261 0
7.15067 6.16446 0
1.97596 2.57804 0
4.9826 4.28373 1
0.870832 1.40991 0
6.40231 5.79775 0
5.71374 4.44151 0
0.956518 1.58729 0
7.33259 6.0436 1
6.15933 5.50562 0
6.44888 4.72876 0
2.50245 2.31569 0
3.84428 3.26048 0
5.96196 4.63987 0
1.90447 1.84272 0
3.29485 3.66302 0
6.48582 3.94567 0
3.82059 3.88834 0
7.47573 6.57222 0
6.24153 4.60536 0
2.96849 2.76025 1
7.05477 6.17375 0
0.0563959 1.16823 0
2.16472 6.93977 0
2.24837 2.03691 0
5.08161 4.41076 1
8.61393 3.77877 0
0.648518 1.53732 0
0.836534 1.77363 0
0.432166 0.563551 0
4.42959 9.77988 0
8.23152 6.34104 0
2.24748 5.72096 0
2.60549 3.60262 0
2.28806 2.53725 0
4.84038 4.03281 0
6.96747 6.13493 0
2.31518 2.48702 0
0.288335 7.87619 0
1.24175 1.46891 1
3.73164 3.1136 0
6.79004 5.97814 0
1.33986 6.36041 0
2.98282 2.23773 0
1.71454 4.94136 0
8.84423 7.03015 0
5.27659 4.62472 1
8.87768 0.597297 0
1.20128 1.90206 0
7.85565 6.98994 0
2.10885 2.73834 0
5.2005 5.04235 0
2.59582 1.20876 0
7.85699 7.46592 0
8.34589 7.41623 0
4.3901 4.22246 0
3.13002 0.429546 0
2.16542 1.8194 0
7.07897 1.04042 0
9.24005 4.31125 0
7.82433 6.64288 1
2.37875 1.90061 0
8.10809 1.05987 0
7.3633 7.34673 0
2.06112 4.75756 0
2.33756 2.00823 0
1.9527 3.21097 0
5.35979 5.54838 0
6.04231 5.39944 0
6.50656 5.62866 1
5.76517 4.94637 1
6.24291 6.15007 0
8.38466 6.43841 0
1.02191 1.24254 1
6.09804 5.0124 0
6.25735 8.61532 0
1.34172 2.2292 0
3.75079 4.27847 0
9.55507 8.67797 0
7.48205 2.78694 0
1.42597 2.23607 0
3.7892 9.71049 0
5.40541 7.65328 0
0.512303 8.37141 0
0.564903 1.75145 0
1.05457 2.65596 0
2.9131 2.80107 1
5.60647 2.74791 0
8.8443 5.60615 0
0.488304 0.164248 0
2.86022 2.6398 1
6.66887 9.82026 0
9.42302 7.80806 1
4.77677 4.77626 0
5.0521 4.45233 1
8.3126 7.0162 1
3.16434 8.5626 0
0.447518 1.74168 0
1.34271 2.32847 0
9.29465 5.51017 0
4.07796 3.33907 0
6.09039 5.57525 0
6.03891 9.00364 0
0.526357 0.841272 1
8.70865 6.47469 0
5.38189 4.67327 1
8.19296 6.66364 0
9.83223 5.10002 0
8.82184 9.87823 0
5.71933 5.73457 0
0.327065 3.15771 0
6.89095 5.81974 1
7.67855 6.9282 0
0.612999 0.676661 0
1.40202 1.73084 1
6.98189 6.39455 0
0.476939 7.85829 0
9.65333 6.93429 0
6.79811 5.42535 0
9.69585 4.16605 0
9.90253 7.59588 0
8.22217 0.259491 0
3.75824 5.49666 0
5.9112 5.67019 0
2.48763 2.32798 1
1.08067 1.56954 0
1.95152 2.41134 0
9.58033 3.2434 0
4.2686 4.20103 0
7.05259 2.29502 0
7.57287 6.41068 1
7.30256 8.00872 0
0.992169 6.59734 0
2.4401 3.20276 0
0.0433441 4.85334 0
1.23017 5.76362 0
7.74175 6.47158 1
6.68067 5.86576 0
1.72518 1.42474 0
7.24812 1.76898 0
7.65471 2.08403 0
9.73923 7.10933 0
2.2161 2.53436 0
7.47779 6.39083 1
2.7853 2.98686 0
3.09313 2.41065 0
1.23869 0.668184 0
9.45674 7.98504 0
3.67233 8.35877 0
5.6171 3.98734 0
0.669579 0.560504 0
9.806 8.06185 1
4.50372 4.73353 0
4.08156 3.30202 0
8.45334 6.77739 0
3.68809 3.69164 0
8.92769 7.31738 1
5.08155 4.15486 0
9.776 3.6424 0
4.28618 6.99103 0
8.25055 3.46169 0
2.19512 2.68948 0
3.07151 2.41235 0
8.83924 7.3775 1
2.84819 7.73973 0
1.27252 1.46293 1
6.84058 6.26787 0
4.04854 4.10711 0
9.6081 7.88135 1
8.60006 7.4072 0
5.94013 7.43343 0
6.97143 2.79035 0
7.57193 6.47161 1
5.58784 6.04211 0
8.70134 7.22595 1
7.91783 9.78034 0
4.74658 2.03747 0
4.78682 6.97458 0
4.52372 4.87881 0
1.70032 2.39553 0
4.32383 3.8247 1
1.99915 2.73658 0
6.54066 5.38168 0
3.45009 3.13912 1
9.06781 7.83312 0
2.64638 6.2179 0
1.02031 6.24379 0
8.25469 6.61756 0
7.86651 6.47923 1
8.1458 6.49682 0
1.19959 9.141 0
7.13072 6.91183 0
1.87833 2.40188 0
0.791646 4.56092 0
4.38396 3.38705 0
3.75764 3.74715 0
6.67354 6.97532 0
7.25844 6.11598 1
3.58449 3.46786 0
8.14311 6.60874 0
3.61236 2.76378 0
4.62936 6.59098 0
5.86228 4.35123 0
9.42552 8.23909 0
8.7212 7.02418 0
3.48929 3.32185 1
5.56877 4.91435 1
2.32195 1.80083 0
7.95488 7.2655 0
8.79296 7.0842 0
6.84834 5.9907 0
9.40197 8.28568 0
5.81378 5.34691 0
4.84207 3.46131 0
3.1694 3.52656 0
6.26382 8.04908 0
7.60657 5.86283 0
1.28879 1.85698 0
5.11822 6.81775 0
0.287571 8.00932 0
1.3883 5.04451 0
8.0063 6.39063 0
7.0007 6.4774 0
1.70334 3.02327 0
3.99671 9.90116 0
4.3114 3.93443 1
8.39204 7.90597 0
5.10823 4.23223 0
7.02967 5.9716 1
2.88518 3.29556 0
1.1395 7.42083 0
4.19389 4.27312 0
6.83238 1.54569 0
1.69589 1.48333 0
1.31304 3.67483 0
1.94623 2.20214 0
0.294964 1.59291 0
5.1337 3.53734 0
1.88278 4.71902 0
3.94461 3.10567 0
0.338412 1.00438 0
9.33965 8.00949 0
4.4639 3.79089 0
1.9165 2.31141 0
6.47578 5.69717 0
6.18354 9.98422 0
1.33344 1.25485 0
8.12917 6.81347 1
0.766033 2.65211 0
7.20953 5.75959 0
2.23232 2.29028 1
4.64679 4.92993 0
0.40901 1.31202 0
8.35406 4.29648 0
4.28466 4.56037 0
4.64728 4.37693 0
2.36492 8.79081 0
1.29228 1.75297 0
7.20065 7.12948 0
5.59798 4.48819 0
7.14735 6.47985 0
3.25948 2.77936 0
0.149104 0.735662 1
6.32362 3.12984 0
9.03656 8.26781 0
1.04239 8.36082 0
1.08194 1.28844 1
2.74551 2.92918 0
2.90205 2.57284 0
2.85581 2.69828 1
5.61043 5.37856 0
1.17328 5.8098 0
9.99745 1.34596 0
8.19694 7.20471 0
7.64273 6.89948 0
2.96397 2.76404 1
9.92347 7.69293 0
0.364885 0.547611 0
0.754445 1.12699 1
7.05628 6.85902 0
6.39582 5.28688 0
3.71239 6.1057 0
0.543731 1.18312 0
8.60054 6.57138 0
9.67472 5.14663 0
1.08859 1.15559 0
6.15358 0.346434 0
7.42784 3.49873 0
7.48115 6.55418 0
5.88527 4.50537 0
0.258551 1.48403 0
0.887142 1.34897 0
5.74456 1.01614 0
0.653917 1.21507 0
1.38069 2.48136 0
2.26851 2.64053 0
8.18276 6.61115 0
7.09231 6.51392 0
1.79908 8.50825 0
5.56722 5.63639 0
8.55254 7.26771 0
9.94584 7.81808 0
4.183 4.66706 0
5.03956 4.51103 1
8.35497 7.98712 0
7.21604 6.34714 0
4.52354 6.15488 0
5.62205 4.66418 0
6.5196 4.91197 0
8.4616 7.67887 0
1.05246 3.9847 0
6.99848 6.14595 0
3.29476 3.66482 0
5.71408 6.54759 0
0.661757 1.58731 0
4.9885 2.23324 0
5.73834 4.82331 1
1.33984 2.17353 0
7.62582 6.40355 1
0.843343 1.23616 1
4.39319 7.72374 0
8.75833 6.98511 0
7.92776 6.44686 0
8.12942 6.9815 0
8.06867 6.98258 0
2.84377 2.35376 0
8.47997 6.97051 1
9.88774 8.15114 1
8.0049 5.80256 0
1.74346 0.407505 0
7.56507 6.64712 0
5.27869 2.51706 0
6.55015 9.3824 0
0.906386 1.36639 0
5.51152 4.36967 0
0.688602 1.38585 0
9.18493 6.45497 0
4.82519 3.90068 0
4.45338 3.93675 1
1.92649 9.19844 0
4.9724 4.73205 0
8.64327 7.19477 1
8.23196 7.51056 0
6.62155 5.83305 0
8.87325 7.0633 0
8.39858 7.64636 0
8.47247 7.00297 1
5.4916 2.7439 0
6.69346 5.27988 0
5.00728 6.99276 0
0.323281 1.64497 0
8.41424 7.34707 0
6.35416 6.1108 0
3.68138 3.22855 0
0.243428 1.68644 0
7.41866 6.49144 0
9.44261 7.68946 1
8.15342 6.352 0
0.797267 1.53528 0
1.94203 2.64219 0
7.81848 1.90551 0
4.97443 5.00184 0
7.31649 6.15166 1
9.39471 4.13155 0
5.09451 4.19116 0
6.90779 6.05769 0
3.30362 0.106026 0
7.2937 6.31496 0
6.57068 7.44067 0
3.03687 2.81872 1
0.928512 1.33241 1
8.50812 7.72358 0
5.98168 9.87474 0
7.50519 6.16132 0
0.922175 1.54302 0
7.78387 6.42942 1
4.03973 3.05409 0
7.26113 2.42038 0
2.14827 2.46941 0
0.557348 1.45285 0
7.99077 5.64462 0
6.96119 6.17316 0
0.016655 7.53719 0
5.00655 4.62364 0
8.08759 6.59775 0
6.97257 5.86121 1
3.92072 5.72041 0
7.87052 2.19544 0
7.29766 2.54228 0
2.72291 3.9205 0
1.27785 1.58445 1
7.30845 6.14253 1
9.67924 7.49731 0
9.22349 8.42865 0
4.38878 2.17268 0
9.93313 7.66242 0
0.512445 1.71016 0
3.86433 3.59466 1
8.95365 5.62203 0
2.44347 2.33881 1
9.24479 8.42745 0
9.2571 7.46716 0
3.65471 6.77686 0
0.141848 2.85966 0
2.22718 2.0002 0
1.73756 1.67993 0
1.07819 2.87458 0
3.24823 2.9496 1
1.9077 2.32527 0
6.25775 5.05274 0
8.40525 6.74112 0
3.59132 2.979 0
3.62559 4.07113 0
6.93916 6.30969 0
4.46073 3.93033 1
9.15791 7.82357 0
4.99385 6.62359 0
7.3746 6.17799 1
6.00655 2.29922 0
6.60533 1.93312 0
5.33873 4.55592 1
0.63782 1.0132 1
4.18515 4.1691 0
1.77098 1.69216 0
2.82136 9.39118 0
4.25541 3.88915 1
0.319032 0.685022 1
7.67454 7.49041 0
9.64873 7.78946 0
9.76877 7.4281 0
1.51614 2.79566 0
7.11213 6.1132 1
4.17687 4.03107 0
1.83432 2.70035 0
4.86621 4.48899 0
0.896811 1.53027 0
